,dateRep,continentExp,cases,deaths
592,3/22/20,Asie du Sud-Est,483,15
593,3/22/20,Europe,22954,1442
594,3/22/20,Méditerranée orientale,1453,129
595,3/22/20,Pacifique occidental,833,20
596,3/23/20,Afrique,170,4
597,3/23/20,Amérique du Nord,8652,133
598,3/23/20,Amérique latine,1109,16
599,3/23/20,Asie du Sud-Est,317,14
600,3/23/20,Europe,21524,1355
601,3/23/20,Méditerranée orientale,1454,140
602,3/23/20,Pacifique occidental,1131,29
603,3/24/20,Afrique,281,4
604,3/24/20,Amérique du Nord,11503,125
605,3/24/20,Amérique latine,991,18
606,3/24/20,Asie du Sud-Est,243,6
607,3/24/20,Europe,28883,1538
608,3/24/20,Méditerranée orientale,1773,136
609,3/24/20,Pacifique occidental,741,27
610,3/25/20,Afrique,363,6
611,3/25/20,Amérique du Nord,9140,215
612,3/25/20,Amérique latine,1039,31
613,3/25/20,Asie du Sud-Est,297,7
614,3/25/20,Europe,27935,1906
615,3/25/20,Méditerranée orientale,2424,135
616,3/25/20,Pacifique occidental,1188,15
617,3/26/20,Afrique,288,3
618,3/26/20,Amérique du Nord,15459,257
619,3/26/20,Amérique latine,1286,24
620,3/26/20,Asie du Sud-Est,303,8
621,3/26/20,Europe,32497,2178
622,3/26/20,Méditerranée orientale,2868,152
623,3/26/20,Pacifique occidental,1049,23
624,3/27/20,Afrique,523,8
625,3/27/20,Amérique du Nord,17540,253
626,3/27/20,Amérique latine,1322,39
627,3/27/20,Asie du Sud-Est,284,25
628,3/27/20,Europe,37336,2288
629,3/27/20,Méditerranée orientale,2896,174
630,3/27/20,Pacifique occidental,1115,27
631,3/28/20,Afrique,361,2
632,3/28/20,Amérique du Nord,19484,429
633,3/28/20,Amérique latine,1621,49
634,3/28/20,Asie du Sud-Est,303,11
635,3/28/20,Europe,38764,2811
636,3/28/20,Méditerranée orientale,3477,167
637,3/28/20,Pacifique occidental,1084,23
638,3/29/20,Afrique,262,15
639,3/29/20,Amérique du Nord,20821,495
640,3/29/20,Amérique latine,1605,51
641,3/29/20,Asie du Sud-Est,341,23
642,3/29/20,Europe,34646,2817
643,3/29/20,Méditerranée orientale,3686,154
644,3/29/20,Pacifique occidental,1453,35
645,3/3/20,Afrique,1,0
646,3/3/20,Amérique du Nord,17,4
647,3/3/20,Amérique latine,2,0
648,3/3/20,Asie du Sud-Est,2,0
649,3/3/20,Europe,558,18
650,3/3/20,Méditerranée orientale,543,12
651,3/3/20,Pacifique occidental,734,38
652,3/30/20,Afrique,282,8
653,3/30/20,Amérique du Nord,19374,323
654,3/30/20,Amérique latine,1443,66
655,3/30/20,Asie du Sud-Est,372,17
656,3/30/20,Europe,31011,2647
657,3/30/20,Méditerranée orientale,3588,145
658,3/30/20,Pacifique occidental,1293,25
659,3/31/20,Afrique,356,11
660,3/31/20,Amérique du Nord,22865,697
661,3/31/20,Amérique latine,1355,58
662,3/31/20,Asie du Sud-Est,578,14
663,3/31/20,Europe,33704,3034
664,3/31/20,Méditerranée orientale,3936,146
665,3/31/20,Pacifique occidental,1694,33
666,3/4/20,Afrique,2,0
667,3/4/20,Amérique du Nord,25,3
668,3/4/20,Amérique latine,2,0
669,3/4/20,Asie du Sud-Est,1,0
670,3/4/20,Europe,760,29
671,3/4/20,Méditerranée orientale,854,11
672,3/4/20,Pacifique occidental,668,41
673,3/5/20,Afrique,9,0
674,3/5/20,Amérique du Nord,37,2
675,3/5/20,Amérique latine,6,0
676,3/5/20,Asie du Sud-Est,26,0
677,3/5/20,Europe,1042,28
678,3/5/20,Méditerranée orientale,602,15
679,3/5/20,Pacifique occidental,632,35
680,3/6/20,Afrique,7,0
681,3/6/20,Amérique du Nord,86,1
682,3/6/20,Amérique latine,10,0
683,3/6/20,Asie du Sud-Est,2,0
684,3/6/20,Europe,1599,47
685,3/6/20,Méditerranée orientale,619,17
686,3/6/20,Pacifique occidental,735,37
687,3/7/20,Afrique,2,0
688,3/7/20,Amérique du Nord,111,2
689,3/7/20,Amérique latine,16,0
690,3/7/20,Asie du Sud-Est,7,0
691,3/7/20,Europe,2017,55
692,3/7/20,Méditerranée orientale,1269,17
693,3/7/20,Pacifique occidental,698,30
694,3/8/20,Afrique,1,0
695,3/8/20,Amérique du Nord,101,3
696,3/8/20,Amérique latine,2,1
697,3/8/20,Asie du Sud-Est,5,0
698,3/8/20,Europe,2246,38
699,3/8/20,Méditerranée orientale,1127,21
700,3/8/20,Pacifique occidental,495,34
701,3/9/20,Afrique,5,0
702,3/9/20,Amérique du Nord,128,4
703,3/9/20,Amérique latine,31,0
704,3/9/20,Asie du Sud-Est,7,0
705,3/9/20,Europe,2823,145
706,3/9/20,Méditerranée orientale,820,54
707,3/9/20,Pacifique occidental,363,25
708,4/1/20,Afrique,323,18
